,,,,,,,,,,,,,,,2,,,,,
,,,,,,,,,,Table 1,,,Table 2,,,,,,,
"LIGHTING CALCULATION *
(Zonal cavity method)",,,,,,,,,,Lamp & fixture,"Lamp lumen     
depreciation (LLD)",,"Lamp operation
conditions","Lamp dirt     
depreciation (LDD)",,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Incandescent,0.79,,Clean,0.93,,,,,,
PROJECT Name :,,,,DATE:,,,,,,Quartz,0.88,,Average,0.86,,,,,,
PROJECT No. :,,,,BY:,,,,,,Mercury,0.75,,Dirty,0.80,,,,,,
ROOM No. :,,,,,,,,,,Metal halide,0.69,,,,,,,,,
ROOM NAME :,,,,,,,,,,High pressure sodium,0.83,,,,,,,,,
,,,,,,,,,,Fluorescent,0.76,,,,,,,,,
ROOM DIMENSIONS,,,,,,,,,,Table 3,,,,,,,,,,
Length (L)=,40,ft,Width (W)=,25,ft,Height (H)=,15,ft,,Lamp,Watts,Lumens,Life (hours),,,,,,,
,,,,,,,,,,"Incandescent
 (frosted)",100,1750,750,,,,,,,
ROOM CHARACTERISTICS,,,,,,,,,,,150,2880,750,,,,,,,
,,Luminaire installation height =,9.0,ft,Colour,,Reflectance %,,,,200 (A-23),4010,750,,,,,,,
,,Workplane height =,4.0,ft,White,,90,,,,200 (PS-25 &30),3710,750,,,,,,,
,,Ceiling cavity depth (hcc) =,6.00,ft,Light green,,80,,,,300 (PS-25),6360,750,,,,,,,
,,Room cavity depth (hrc) =,5.00,ft,Light blue,,80,,,,300 (PS-30),6110,750,,,,,,,
,,Floor cavity depth (hfc) =,4.00,ft,Yellow,,70,,,,300 (PS-35),5820,1000,,,,,,,
,,Ceiling cavity ratio (CCR) =,1.95,,Cream,,70,,,,500,10850,1000,,,,,,,
,,Room cavity ratio (RCR) =,1.63,,Pink,,70,,,"Mercury
(deluxe white)",100,4200,24000,,,,,,,
,,Floor cavity ratio (FCR) =,1.30,,Light gray,,50,,,,175,8600,24000,,,,,,,
,,Ceiling reflectance =,,%,Med. green,,50,,,,250,12100,24000,,,,,,,
,,Wall reflectance =,,%,Med. blue,,50,,,,400,22500,24000,,,,,,,
,,Floor reflectance =,,%,Med gray,,30,,,,1000,63000,24000,,,,,,,
,,Effective ceiling cavity reflectance (pcc) =,53,%,Red,,30,,,"Metal Halide
(clear)",70,5600,10000,,,,,,,
,,Effective wall reflectance (pw) =,50,%,Blue,,10,,,,100,7800,10000,,,,,,,
,,Effective floor cavity reflectance (pfc) =,27,%,Brown,,10,,,,175,14000,10000,,,,,,,
,,Coefficient of utilization (CU )=,0.54,,Green,,10,,,,250,20500,10000,,,,,,,
,,Adjusted coefficient of utilization (CU )=,0.567,,Black,,0,,,,400,36000,20000,,,,,,,
,,,,,,,,,,,1000,110000,12000,,,,,,,
FIXTURE CHARACTERISTICS,,,,,,,,,,"High Pressure Sodium
(clear)",35,2250,16000,,,,,,,
Fixture type:,,,Manufacturer:,Holophane,,Cat. # :,,,,,50,4000,24000,,,,,,,
Watts/lamp=,,100,,Lamps/fixture=,2,,Lumen/lamp=,7800,,,70,6400,24000,,,,,,,
Lamp lumen depreciation (LLD)= ,,0.88,Lamp dirt deprec.(LDD)=   ,,0.8,"Total light loss
factor (LLF) =",,0.704,,,100,9500,24000,,,,,,,
,,,,,,,,,,,150,16000,24000,,,,,,,
,,,,,,,,,,,200,22000,24000,,,,,,,
,Required illuminance =,30,footcandles,,,,,,,,250,27500,24000,,,,,,,
,Number of fixtures =,5.1,,,,,,,,,400,50000,24000,,,,,,,
,,,,,,,,,,,1000,140000,24000,,,,,,,
,Rounded # of fixtures =,6,,,,,,,,"Fluorescent
(cool white)",32 (T8),2900,20000,,,,,,,
,Resulted illuminance =,37,footcandles,,,,,,,,40 (slimline),3000,9000,,,,,,,
* According to Holophane and IES lighting calculation,,,,,,,,,,,40 (rapid start),3150,20000,,,,,,,
  IES = Illuminating Engineering Society,,,,,,,,,,,60 (800mA),4300,12000,,,,,,,
,,,,,,,,,,,110 (1500mA),6850,10000,,,,,,,
,,,,,,,,,,,215 (1500mA),16000,12000,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
